iter	Passed	Remaining
0	395	395040
1	396	197934
2	397	132185
3	398	99311
4	399	79554
5	401	66441
6	402	57034
7	403	49996
8	404	44522
9	405	40147
10	407	36597
11	408	33632
12	409	31102
13	410	28933
14	412	27061
15	413	25403
16	414	23991
17	416	22697
18	417	21548
19	418	20501
20	419	19562
21	421	18719
22	422	17955
23	424	17251
24	425	16585
25	426	15972
26	427	15402
27	428	14886
28	430	14399
29	431	13941
30	432	13519
31	433	13112
32	434	12740
33	436	12391
34	437	12064
35	438	11747
36	439	11447
37	440	11162
38	442	10892
39	443	10644
40	444	10408
41	446	10179
42	447	9954
43	448	9743
44	449	9546
45	451	9357
46	452	9174
47	453	8997
48	454	8825
49	455	8662
50	457	8504
51	458	8353
52	459	8205
53	460	8067
54	461	7928
55	462	7801
56	464	7687
57	465	7565
58	466	7446
59	467	7331
60	469	7220
61	470	7113
62	471	7014
63	472	6913
64	473	6814
65	474	6720
66	475	6626
67	477	6539
68	478	6460
69	480	6379
70	481	6296
71	482	6218
72	483	6139
73	484	6063
74	485	5989
75	487	5922
76	488	5851
77	489	5781
78	490	5716
79	491	5653
80	492	5590
81	494	5533
82	495	5469
83	496	5410
84	497	5352
85	498	5297
86	499	5241
87	500	5189
88	502	5139
89	503	5089
90	504	5040
91	506	4994
92	506	4944
93	509	4905
94	510	4865
95	511	4820
96	512	4775
97	514	4731
98	515	4690
99	518	4662
100	519	4621
101	520	4580
102	521	4540
103	522	4503
104	524	4468
105	525	4433
106	526	4397
107	528	4363
108	529	4330
109	531	4299
110	533	4270
111	534	4237
112	536	4207
113	538	4182
114	541	4163
115	542	4134
116	543	4100
117	544	4070
118	546	4048
119	548	4025
120	554	4026
121	556	4008
122	560	3993
123	562	3975
124	564	3953
125	565	3925
126	567	3900
127	570	3883
128	572	3864
129	573	3837
130	577	3828
131	580	3815
132	581	3789
133	583	3769
134	585	3752
135	586	3727
136	588	3704
137	590	3687
138	592	3672
139	594	3649
140	595	3626
141	596	3604
142	599	3593
143	600	3572
144	602	3551
145	604	3537
146	607	3523
147	610	3516
148	613	3506
149	615	3488
150	616	3468
151	620	3461
152	622	3448
153	624	3429
154	626	3417
155	630	3411
156	632	3393
157	634	3383
158	637	3369
159	638	3353
160	640	3339
161	644	3334
162	646	3319
163	649	3312
164	651	3295
165	652	3277
166	653	3258
167	655	3245
168	659	3240
169	660	3224
170	662	3210
171	664	3199
172	665	3182
173	666	3166
174	668	3150
175	669	3135
176	671	3123
177	673	3109
178	674	3094
179	675	3078
180	678	3069
181	679	3054
182	680	3039
183	681	3024
184	683	3012
185	686	3003
186	687	2990
187	688	2975
188	690	2962
189	692	2950
190	693	2936
191	694	2922
192	695	2907
193	696	2894
194	698	2882
195	699	2871
196	701	2857
197	702	2843
198	703	2829
199	704	2817
200	706	2807
201	707	2795
202	708	2782
203	709	2770
204	711	2758
205	712	2745
206	713	2735
207	715	2723
208	716	2710
209	717	2698
210	718	2687
211	719	2675
212	721	2664
213	722	2653
214	723	2641
215	724	2629
216	725	2618
217	727	2608
218	728	2598
219	729	2587
220	730	2576
221	731	2564
222	733	2554
223	734	2544
224	736	2535
225	737	2525
226	738	2515
227	739	2504
228	740	2494
229	742	2484
230	743	2476
231	745	2466
232	746	2457
233	748	2449
234	750	2441
235	751	2431
236	752	2423
237	754	2416
238	756	2407
239	758	2400
240	759	2392
241	761	2384
242	762	2374
243	763	2365
244	764	2357
245	766	2349
246	767	2340
247	769	2331
248	770	2325
249	773	2321
250	775	2312
251	776	2304
252	777	2295
253	779	2290
254	781	2282
255	783	2275
256	784	2267
257	785	2259
258	787	2251
259	789	2246
260	790	2238
261	791	2230
262	793	2223
263	795	2217
264	796	2210
265	798	2203
266	799	2195
267	801	2188
268	803	2183
269	805	2176
270	806	2168
271	807	2161
272	809	2154
273	810	2148
274	812	2141
275	813	2133
276	814	2127
277	817	2123
278	819	2116
279	820	2109
280	821	2102
281	823	2095
282	824	2089
283	826	2083
284	827	2076
285	829	2070
286	830	2063
287	832	2059
288	834	2052
289	835	2046
290	837	2039
291	838	2032
292	839	2025
293	841	2020
294	842	2014
295	844	2008
296	845	2002
297	848	1999
298	850	1993
299	851	1987
300	853	1980
301	854	1975
302	856	1969
303	857	1963
304	858	1957
305	860	1950
306	861	1945
307	863	1940
308	864	1934
309	866	1928
310	867	1921
311	868	1915
312	870	1909
313	871	1903
314	872	1897
315	873	1891
316	875	1885
317	876	1880
318	878	1874
319	879	1868
320	880	1862
321	881	1856
322	883	1851
323	885	1847
324	886	1841
325	887	1835
326	888	1829
327	890	1823
328	891	1818
329	893	1813
330	894	1807
331	895	1801
332	896	1795
333	898	1790
334	899	1785
335	900	1780
336	901	1774
337	903	1769
338	904	1763
339	905	1757
340	906	1752
341	908	1747
342	909	1742
343	910	1736
344	911	1731
345	912	1725
346	914	1721
347	916	1716
348	917	1711
349	918	1705
350	919	1700
351	921	1696
352	923	1692
353	924	1687
354	925	1681
355	927	1677
356	928	1672
357	929	1667
358	931	1662
359	932	1657
360	933	1652
361	934	1647
362	936	1642
363	937	1638
364	938	1633
365	939	1628
366	940	1622
367	942	1618
368	943	1613
369	945	1609
370	946	1604
371	947	1600
372	949	1595
373	950	1591
374	952	1587
375	953	1582
376	954	1577
377	955	1572
378	956	1567
379	957	1562
380	959	1559
381	960	1554
382	961	1549
383	963	1545
384	964	1540
385	965	1535
386	967	1531
387	968	1527
388	969	1522
389	970	1518
390	971	1513
391	972	1508
392	974	1505
393	975	1500
394	976	1496
395	977	1491
396	979	1487
397	980	1482
398	981	1478
399	982	1474
400	984	1470
401	985	1465
402	986	1461
403	987	1457
404	989	1453
405	990	1449
406	991	1444
407	992	1440
408	993	1436
409	995	1431
410	997	1429
411	998	1425
412	999	1420
413	1000	1416
414	1002	1412
415	1003	1408
416	1004	1405
417	1005	1400
418	1007	1396
419	1008	1392
420	1009	1388
421	1011	1384
422	1012	1381
423	1013	1377
424	1015	1373
425	1016	1369
426	1017	1365
427	1018	1361
428	1019	1357
429	1020	1353
430	1022	1349
431	1023	1345
432	1024	1342
433	1026	1338
434	1027	1335
435	1029	1331
436	1030	1327
437	1031	1324
438	1033	1320
439	1035	1317
440	1036	1313
441	1037	1309
442	1039	1306
443	1041	1304
444	1043	1301
445	1044	1297
446	1045	1293
447	1047	1290
448	1049	1287
449	1050	1284
450	1051	1280
451	1053	1277
452	1054	1273
453	1055	1269
454	1057	1266
455	1058	1263
456	1060	1259
457	1061	1256
458	1063	1252
459	1064	1250
460	1066	1246
461	1067	1242
462	1068	1239
463	1069	1235
464	1070	1231
465	1072	1229
466	1074	1225
467	1075	1222
468	1076	1218
469	1077	1215
470	1078	1211
471	1080	1208
472	1081	1205
473	1082	1201
474	1083	1198
475	1085	1194
476	1087	1191
477	1088	1188
478	1089	1185
479	1090	1181
480	1091	1178
481	1093	1174
482	1094	1171
483	1096	1168
484	1097	1165
485	1098	1162
486	1099	1158
487	1101	1155
488	1102	1152
489	1103	1148
490	1105	1145
491	1106	1142
492	1107	1138
493	1109	1136
494	1111	1133
495	1112	1130
496	1113	1127
497	1115	1124
498	1117	1121
499	1118	1118
500	1119	1115
501	1121	1112
502	1122	1109
503	1124	1106
504	1125	1103
505	1126	1100
506	1127	1096
507	1129	1093
508	1130	1090
509	1132	1087
510	1133	1084
511	1134	1081
512	1135	1078
513	1137	1075
514	1138	1072
515	1140	1069
516	1141	1066
517	1143	1063
518	1144	1060
519	1145	1057
520	1147	1054
521	1148	1051
522	1149	1048
523	1150	1045
524	1151	1041
525	1152	1038
526	1154	1036
527	1155	1033
528	1156	1029
529	1158	1027
530	1159	1023
531	1160	1021
532	1162	1018
533	1164	1015
534	1165	1012
535	1166	1009
536	1168	1007
537	1169	1004
538	1171	1002
539	1172	999
540	1173	995
541	1175	992
542	1176	990
543	1178	988
544	1179	984
545	1181	982
546	1182	979
547	1183	976
548	1186	974
549	1187	971
550	1188	968
551	1190	966
552	1192	963
553	1194	961
554	1195	958
555	1196	955
556	1198	952
557	1201	951
558	1203	949
559	1204	946
560	1205	943
561	1209	942
562	1210	939
563	1212	937
564	1215	935
565	1216	932
566	1217	929
567	1218	927
568	1220	924
569	1223	922
570	1225	920
571	1227	918
572	1228	915
573	1230	913
574	1231	910
575	1232	907
576	1234	905
577	1236	902
578	1237	900
579	1238	897
580	1240	894
581	1241	891
582	1244	889
583	1245	887
584	1247	884
585	1248	882
586	1249	879
587	1251	877
588	1253	874
589	1255	872
590	1256	869
591	1258	867
592	1260	864
593	1261	862
594	1262	859
595	1263	856
596	1265	853
597	1266	851
598	1268	849
599	1269	846
600	1270	843
601	1272	841
602	1273	838
